month,temp (C°),humidity(%),wmo code,rain (mm),snowfall (cm),app_temp(C°),pressure_msl (hPa),surface_pressure (hPa),State or City,Sexes,Age,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,All Ages,nan,9283.0,790.0,0.0,65.0,856.0
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,Under 1 year,0.0,48.0,nan,0.0,0.0,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,0-17 years,0.0,77.0,nan,0.0,nan,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,1-4 years,0.0,nan,nan,0.0,nan,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,5-14 years,0.0,11.0,0.0,0.0,nan,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,15-24 years,0.0,64.0,nan,0.0,0.0,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,18-29 years,0.0,124.0,nan,0.0,0.0,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,25-34 years,0.0,148.0,nan,0.0,0.0,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,30-39 years,0.0,164.0,nan,0.0,nan,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,35-44 years,0.0,179.0,nan,0.0,nan,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,40-49 years,0.0,255.0,10.0,0.0,nan,11.0
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,45-54 years,0.0,411.0,18.0,0.0,nan,21.0
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,50-64 years,0.0,1223.0,70.0,0.0,14.0,84.0
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,55-64 years,0.0,974.0,62.0,0.0,12.0,74.0
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,65-74 years,nan,1734.0,148.0,0.0,13.0,162.0
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,75-84 years,0.0,2240.0,190.0,0.0,17.0,207.0
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,All Sexes,85 years and over,0.0,3466.0,354.0,0.0,17.0,371.0
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,Male,All Ages,nan,4612.0,405.0,0.0,34.0,440.0
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,Male,Under 1 year,0.0,25.0,nan,0.0,0.0,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,Male,0-17 years,0.0,46.0,nan,0.0,nan,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,Male,1-4 years,0.0,nan,0.0,0.0,nan,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,Male,5-14 years,0.0,nan,0.0,0.0,nan,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,Male,15-24 years,0.0,44.0,nan,0.0,0.0,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,Male,18-29 years,0.0,83.0,nan,0.0,0.0,nan
2020-01,2.5963709677419358,69.04166666666667,8.198924731182796,0.06021505376344086,0.008844086021505377,-1.883736559139785,1019.8681451612904,1013.4477150537634,New York,Male,25-34 years,0.0,100.0,nan,0.0,0.0,nan
